ProductId,Name,Description,Price,Quantity,CategoryId,SupplierId,ImageUrl
1,"Yoga Mat","Non-slip yoga mat for a stable practice.",29.99,193,1,1,"https://media.istockphoto.com/id/1907365112/photo/red-exercise-mat-object-shadow-clipping-path.webp?a=1&b=1&s=612x612&w=0&k=20&c=bjQAGNTCMNU-7EVVGdEOF4nke3fWeaVicFspQSqFj6E="
2,"Dumbbell Set","Adjustable dumbbells for strength training.",99.99,116,1,2,"https://media.istockphoto.com/id/527893216/photo/dumbbell-row.webp?a=1&b=1&s=612x612&w=0&k=20&c=cUDUK9fCRasuNWi6N41-R3VFcWpkUH3S_TDFq3z1BTI="
3,"Sports Water Bottle","Durable water bottle for athletes.",14.99,58,7,3,"https://media.istockphoto.com/id/1784637775/photo/woman-holding-bottle-of-drink-on-light-blue-background-closeup.webp?a=1&b=1&s=612x612&w=0&k=20&c=EQVztJNNrTHwg_bqA6t6zyujY-9GFGudSe5Kipa32r4="
4,"Running Shoes","Comfortable and breathable running shoes.",59.99,117,3,4,"https://media.istockphoto.com/id/1688015574/photo/white-sneaker-isolated-on-white-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=6JRmdS5V14lvIBrVvfu8Q6qHgZ8-gYRr4X45xXrByp8="
5,"Basketball","High-quality basketball for outdoor play.",25.99,89,4,5,"https://media.istockphoto.com/id/1991934907/photo/orange-basketball-ball-on-white-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=PGKJu-M6SevvRnp6NDtkwCtxE8KpDgLjRW_6OFMJzR0="
6,"Baseball Bat","Wooden baseball bat for practice.",35.99,80,4,6,"https://media.istockphoto.com/id/171210918/photo/baseball-bat.webp?a=1&b=1&s=612x612&w=0&k=20&c=g-biwhenwM6pxq7OQmP0I9YyS2QziUGQnjcMI64QC0A="
7,"Soccer Ball","Official soccer ball for matches.",15.99,97,4,7,"https://media.istockphoto.com/id/1715139919/photo/classic-football-ball-isolated-on-white.webp?a=1&b=1&s=612x612&w=0&k=20&c=MfuEjNu9yruJtFjm1D9PS6G3ehxC4-JDn9cA1xvhSn8="
8,"Football Gloves","Pro-level football gloves for better grip.",39.99,47,7,8,"https://media.istockphoto.com/id/1263264956/photo/pink-and-black-goalkeeper-glove-isolated-on-white.webp?a=1&b=1&s=612x612&w=0&k=20&c=JWtbwfziWPPwx5Y4eAKaukJNivMkhoG5XyBIO6wBld4="
9,"Gym Shorts","Breathable gym shorts for workouts.",12.99,160,2,9,"https://media.istockphoto.com/id/627759274/photo/asian-women-with-prosthetic-leg-running-in-the-desert.webp?a=1&b=1&s=612x612&w=0&k=20&c=JGrWL6UVc7d_mXkDlYR_dEveOi9EPLATQo1U_CpdNbU="
10,"Tennis Racket","Professional tennis racket for all players.",150,150,4,10,"https://media.istockphoto.com/id/901967648/photo/tennis-racket.webp?a=1&b=1&s=612x612&w=0&k=20&c=Lfyihq8auBM3S8k5lN1xz9rQHfpb28IYFr8iJnogrpw="
11,"Resistance Bands","Resistance bands for home workouts.",22.99,135,5,11,"https://media.istockphoto.com/id/2173195557/photo/woman-doing-resistance-band-exercises-at-home.webp?a=1&b=1&s=612x612&w=0&k=20&c=LMjj87z_jd3juDl1EnMEjd21kkbA9Y5PWOJmkV4BD7s="
12,"Jump Rope","Jump rope for cardio and conditioning.",9.99,182,5,12,"https://media.istockphoto.com/id/1182421361/photo/skipping-rope-on-white-background-flat-lay.webp?a=1&b=1&s=612x612&w=0&k=20&c=uf_hS89Xc22sfhhtVILFvWBFuuXTjfGBj3a96cYkvW8="
13,"Protein Powder","Premium protein powder for muscle growth.",30,107,6,13,"https://media.istockphoto.com/id/1200872324/photo/whey-protein.webp?a=1&b=1&s=612x612&w=0&k=20&c=5MFOXfv9B_YmZBfIhKy9E8KKu8eMHLvzC2nVSg_8vaE="
14,"Waterproof Watch","Water-resistant watch for outdoor adventures.",120,132,7,14,"https://media.istockphoto.com/id/94343912/photo/watch.webp?a=1&b=1&s=612x612&w=0&k=20&c=-oKtxMVCmHBbFQVxLSPiyghvGJpMiH92sVkv415xShs="
15,"Hiking Boots","High-traction hiking boots.",75,33,3,15,"https://media.istockphoto.com/id/1422989430/photo/leather-hiking-boots-walking-on-mountain-trail.webp?a=1&b=1&s=612x612&w=0&k=20&c=wR6_7vf39C9eZGKv8tuOQrdFsdIF-mCOEKD1W3ran2I="
16,"Duffle Bag","Spacious duffle bag for gym or travel.",40,130,7,16,"https://media.istockphoto.com/id/171283263/photo/sportbag.webp?a=1&b=1&s=612x612&w=0&k=20&c=2Kmvi7EpoUaHPJZuycjpZW1zIUQSbLBsM-if69ONyTI="
17,"Sports Headband","Stretch-resistant sports headband.",14.99,25,7,17,"https://media.istockphoto.com/id/178932879/photo/sweatband.webp?a=1&b=1&s=612x612&w=0&k=20&c=TNB7GoQ3tQoNObElgVM2Ose3boWEitkXuzDewBkXumk="
18,"Sunglasses","Stylish sunglasses for sunny days.",25.99,145,7,18,"https://media.istockphoto.com/id/1977082593/photo/watermelon-slice-with-sunglasses-and-water-splash-on-blue-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=_hy5Tlo6PuK63F2nLKw_ZjtH_9NBm2A2hO3CG_hwu-k="
19,"Yoga Block","Yoga block to assist with postures.",18.99,16,5,19,"https://media.istockphoto.com/id/2138175151/photo/yoga-strap-box-and-yoga-bricks.webp?a=1&b=1&s=612x612&w=0&k=20&c=hozMP4bojFHQP7jHlm6LZ5X3McnJHUxjxJfYt2AGrMI="
20,"Kettlebell","Durable kettlebell for home gym workouts.",29.99,76,5,20,"https://media.istockphoto.com/id/154954867/photo/kettle-bell.webp?a=1&b=1&s=612x612&w=0&k=20&c=kePM6ip8tQzf_bIyOaVAyg2GUxla8hKd0pvb5_ZOV8Y="
21,"Yoga Pants","Comfortable yoga pants.",40,105,2,21,"https://media.istockphoto.com/id/1924080237/photo/a-woman-doing-butt-training-at-the-gym.webp?a=1&b=1&s=612x612&w=0&k=20&c=JIonAXjAGKoOZZps16elrsDtUbC8TrHb4rUae-rvq4E="
22,"Cycling Gloves","Cycling gloves for maximum grip and comfort.",19.99,196,7,22,"https://media.istockphoto.com/id/964979858/photo/cycling-gloves-isolated-on-white.webp?a=1&b=1&s=612x612&w=0&k=20&c=1hTfQPcMWbof08jbAzS6vz81C8_oOW8aNlcexEPcCMI="
23,"Compression Socks","Compression socks for better circulation.",15.99,123,5,23,"https://media.istockphoto.com/id/177502133/photo/running-shoes-closeup.webp?a=1&b=1&s=612x612&w=0&k=20&c=n9DHjB4J7cBGp2z3u9gtyrKCHizcGip40PlbyZh3hWs="
24,"Stretching Strap","Elastic stretching strap for flexibility.",22,137,5,24,"https://media.istockphoto.com/id/1267778325/photo/young-asian-woman-using-yoga-strap-to-exercise-flexibility.webp?a=1&b=1&s=612x612&w=0&k=20&c=bbICPyF61-FTHPDy3AGwfxuqAO_m8wDYr8LmU19kJug="
25,"Foam Roller","Foam roller for muscle recovery.",24.99,64,5,25,"https://media.istockphoto.com/id/1182421361/photo/young-man-stretching-himself-on-a-foam-roller.webp?a=1&b=1&s=612x612&w=0&k=20&c=Yp0WPsPJCKfXHrTf0UFWGgS50zcmuyC166HVO_ww2FY="